*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*, , , , , ,*, , , , , ,*, , , , , , , , ,o,o,o,*,x,*,x,x,x,*,x,x,x,x,x,*,x,x,x,S,S,S,x,*,x,x,x,x,x,*,x,x,x,x,x,x,x,*,o,o,o, , ,*,o,o,o,o,o,o,o, , , , , , ,*,o,o,o,o,o, , , , ,*, , , , , , , , , ,*
*, ,*,*,*, ,*, ,*,*,*, ,*, ,*,*,*,*,*,*,*,o,*,o,*,x,*,x,*,x,*,x,*,*,*,x,*,x,*,*,*,x,*,x,*,*,*,x,*,x,*,x,*,*,*,*,*,x,*,o,*,o,*,*,*,o,*,*,*,*,*,o,*,*,*, ,*,*,*,o,*,*,*,o,*,*,*, ,*,*,*, ,*,*,*, ,*,*,*
*, ,*, ,*, ,*, ,*, , , ,*, ,*, ,*,o,o,o,o,o,*,o,*,x,*,x,*,x,x,x,*,x,*,x,*,x,x,x,*,x,*,x,x,x,x,x,*,x,x,x,*,x,x,x,x,x,*,o,*,o,o,o,o,o,*,x,x,x,*,o,o,o,*, ,*,o,o,o,*,x,*,o,*, , , , , ,*, , , ,*, , , ,*
*, ,*, ,*, ,*, ,*, ,*, ,*, ,*, ,*,o,*,*,*,*,*,o,*,x,*,x,*,*,*,*,*,x,*,x,*,*,*,x,*,x,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,o,*,*,*,*,*,*,*,*,*,x,*,*,*,o,*,*,*,o,*,*,*,x,*,o,*,*,*,*,*, ,*,*,*, ,*,*,*, ,*
*, , , ,*, , , ,*, ,*, ,*, ,*, ,*,o,o,o,*, ,*,o,*,x,x,x,x,x,x,x,x,x,*,x,x,x,*,x,*,x,*,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,*,x,*,x,x,x,x,x,x,x,x,x,*,o,o,o,o,o,x,x,x,x,*,o,*,o,o,o,*, , , ,*, ,*, ,*, ,*
*, ,*,*,*,*,*, ,*, ,*,*,*, ,*, ,*,*,*,o,*, ,*,o,*,*,*,*,*,*,*,*,*,x,*,x,*,*,*,x,*,x,*,S,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,x,*,x,*,x,*,*,*,*,*,x,*,*,*,*,*,*,*,*,*,*,*,o,*,o,*,o,*,*,*, ,*, ,*, ,*, ,*
*, ,*,o,o,o,*, ,*, , , , , , , , , ,*,o,*, ,*,o,o,o,o,o,o,o,*,x,x,x,*,x,x,x,x,x,*,x,x,x,x,x,x,x,x,x,x,x,x,x,*,x,x,x,*,x,x,x,x,x,*,x,*,x,x,x,x,x,x,x,*,o,o,o,o,o,o,o,*,o,o,o,*,o,*, , , ,*, , , ,*, ,*
*,*,*,o,*,o,*,*,*, ,*,*,*,*,*,*,*,*,*,o,*, ,*,*,*,*,*,*,*,o,*,*,*,x,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,x,*,x,*,x,*,x,*,*,*,*,*,x,*,x,*,*,*,*,*,*,*,o,*,*,*,*,*,o,*,*,*,*,*,o,*, ,*,*,*,*,*,*,*, ,*
*,o,o,o,*,o,o,o,*, , , ,*,o,o,o,o,o,o,o,*, , , , , , , ,*,o,o,o,*,x,x,x,*,o,o,o,o,o,*,o,o,o,o,o,*,x,x,x,*,x,*,x,*,x,x,x,*,x,*,x,x,x,*,x,x,x,*,o,o,o,*,o,o,o,o,o,*,o,*,o,o,o,*,o,*, ,*, , , , , , , ,*
*,o,*,*,*,*,*,o,*,*,*, ,*,o,*,x,*,*,*,*,*,*,*,*,*, ,*, ,*,*,*,o,*,*,*,x,*,o,*,*,*,o,*,o,*,*,*,o,*,x,*,*,*,x,*,x,*,*,*,*,*,x,*,x,*,*,*,*,*,*,*,o,*,o,*,*,*,*,*,o,*,o,*,o,*,o,*,o,*, ,*,*,*, ,*,*,*, ,*
